id,转换后JH,XJS,JX,FW,LJCZJS,JX_design,FW_design,LJCZJS_design,关键点
2501,B16-X49,988.65,48.74,234.4,754.31,N/A,N/A,N/A,0.0
2502,B16-X49,1017.33,48.54,234.3,773.26,N/A,N/A,N/A,0.0
2503,B16-X49,1045.91,48.43,234.0,792.21,N/A,N/A,N/A,0.0
2504,B16-X49,1074.71,48.22,233.6,811.36,N/A,N/A,N/A,0.0
2505,B16-X49,1103.27,47.99,232.8,830.43,N/A,N/A,N/A,0.0
2506,B16-X49,1131.77,47.78,232.2,849.54,N/A,N/A,N/A,0.0
2507,B16-X49,1160.4,47.53,231.5,868.83,N/A,N/A,N/A,0.0
2508,B16-X49,1189.12,47.37,231.1,888.25,N/A,N/A,N/A,0.0
2509,B16-X49,1218.0,47.39,230.8,907.8,N/A,N/A,N/A,0.0
2510,B16-X49,1246.58,47.4,230.5,927.15,N/A,N/A,N/A,0.0
2511,B16-X49,1275.0,47.42,230.3,946.38,N/A,N/A,N/A,0.0
2512,B16-X49,1303.47,47.33,229.6,965.66,N/A,N/A,N/A,0.0
2513,B16-X49,1332.31,46.45,232.6,985.37,N/A,N/A,N/A,0.0
2514,B16-X49,1360.97,47.59,234.5,1004.91,N/A,N/A,N/A,0.0
2515,B16-X49,1389.83,47.55,236.9,1024.38,N/A,N/A,N/A,0.0
2516,B16-X49,1418.53,47.63,237.6,1043.74,N/A,N/A,N/A,0.0
2517,B16-X49,1447.1,47.72,238.2,1062.97,N/A,N/A,N/A,0.0
2518,B16-X49,1475.88,47.61,238.1,1082.36,N/A,N/A,N/A,0.0
2519,B16-X49,1504.55,47.5,238.1,1101.71,N/A,N/A,N/A,0.0
2520,B16-X49,1533.31,48.11,238.1,1121.02,N/A,N/A,N/A,0.0
2521,B16-X49,1561.89,48.75,238.2,1139.99,N/A,N/A,N/A,0.0
2522,B16-X49,1590.61,49.39,238.3,1158.8,N/A,N/A,N/A,0.0
2523,B16-X49,1619.33,49.22,238.0,1177.53,N/A,N/A,N/A,0.0
2524,B16-X49,1647.92,47.24,237.2,1196.57,N/A,N/A,N/A,0.0
2525,B16-X49,1676.55,48.06,237.3,1215.86,N/A,N/A,N/A,0.0
2526,B16-X49,1704.99,48.82,237.2,1234.73,N/A,N/A,N/A,0.0
2527,B16-X49,1733.82,47.07,236.3,1254.04,N/A,N/A,N/A,0.0
2528,B16-X49,1763.72,48.06,236.3,1274.21,N/A,N/A,N/A,0.0
2529,B16-X49,1792.51,49.13,236.3,1293.25,N/A,N/A,N/A,0.0
2530,B16-X49,1821.25,47.15,236.3,1312.43,N/A,N/A,N/A,0.0
2531,B16-X49,1850.04,46.93,236.3,1332.05,N/A,N/A,N/A,0.0
2532,B16-X49,1878.64,47.65,236.1,1351.45,N/A,N/A,N/A,0.0
2533,B16-X49,1907.28,48.38,235.9,1370.61,N/A,N/A,N/A,0.0
2534,B16-X49,1935.87,49.57,236.6,1389.37,N/A,N/A,N/A,0.0
2535,B16-X49,1964.68,48.21,236.9,1408.32,N/A,N/A,N/A,0.0
2536,B16-X49,1993.42,48.56,237.0,1427.4,N/A,N/A,N/A,0.0
2537,B16-X49,2012.73,48.68,236.8,1440.17,N/A,N/A,N/A,0.0
2538,B16-X49,2031.76,47.55,235.9,1452.87,N/A,N/A,N/A,0.0
2539,B16-X49,2060.37,49.35,236.5,1471.85,N/A,N/A,N/A,0.0
2540,B16-X49,2089.24,47.99,234.9,1490.91,N/A,N/A,N/A,0.0
2541,B16-X49,2118.0,49.04,234.4,1509.96,N/A,N/A,N/A,0.0
2542,B16-X49,2146.74,47.05,234.0,1529.18,N/A,N/A,N/A,0.0
2543,B16-X49,2175.34,47.37,233.0,1548.6,N/A,N/A,N/A,0.0
2544,B16-X49,2204.29,48.96,232.8,1567.91,N/A,N/A,N/A,0.0
2545,B16-X49,2233.16,47.52,233.8,1587.14,N/A,N/A,N/A,0.0
2546,B16-X49,2261.74,46.23,234.7,1606.68,N/A,N/A,N/A,0.0
2547,B16-X49,2290.65,47.5,234.9,1626.44,N/A,N/A,N/A,0.0
2548,B16-X49,2319.32,48.13,234.7,1645.7,N/A,N/A,N/A,0.0
2549,B16-X49,2348.21,48.69,234.5,1664.87,N/A,N/A,N/A,0.0
2550,B16-X49,2376.94,49.31,234.7,1683.72,N/A,N/A,N/A,0.0
2551,B16-X49,2405.45,49.44,235.2,1702.28,N/A,N/A,N/A,0.0
2552,B16-X49,2434.21,49.72,234.9,1720.93,N/A,N/A,N/A,0.0
2553,B16-X49,2463.07,49.97,234.7,1739.54,N/A,N/A,N/A,0.0
2554,B16-X49,2491.82,50.26,234.9,1757.98,N/A,N/A,N/A,0.0
2555,B16-X49,2520.6,50.54,234.9,1776.32,N/A,N/A,N/A,0.0
2556,B16-X49,2549.49,50.93,235.2,1794.61,N/A,N/A,N/A,0.0
2557,B16-X49,2578.16,50.63,235.2,1812.74,N/A,N/A,N/A,0.0
2558,B16-X49,2606.79,50.76,235.9,1830.87,N/A,N/A,N/A,0.0
2559,B16-X49,2635.7,50.63,235.6,1849.18,N/A,N/A,N/A,0.0
2560,B16-X49,2664.36,50.32,235.5,1867.42,N/A,N/A,N/A,0.0
2561,B16-X49,2693.23,50.41,235.4,1885.84,N/A,N/A,N/A,0.0
2562,B16-X49,2721.87,50.93,235.1,1903.99,N/A,N/A,N/A,0.0
2563,B16-X49,2750.44,49.75,236.9,1922.23,N/A,N/A,N/A,0.0
2564,B16-X49,2779.27,50.01,236.9,1940.8,N/A,N/A,N/A,0.0
2565,B16-X49,2808.03,50.32,236.7,1959.23,N/A,N/A,N/A,0.0
2566,B16-X49,2836.56,50.76,237.1,1977.36,N/A,N/A,N/A,0.0
2567,B16-X49,2865.46,49.21,236.1,1995.94,N/A,N/A,N/A,0.0
2568,B16-X49,2894.32,49.04,235.7,2014.83,N/A,N/A,N/A,0.0
2569,B16-X49,2922.86,47.07,235.7,2033.9,N/A,N/A,N/A,0.0
2570,B16-X49,2951.62,46.8,235.7,2053.54,N/A,N/A,N/A,0.0
2571,B16-X49,2980.36,46.68,235.9,2073.24,N/A,N/A,N/A,0.0
2572,B16-X49,3009.04,46.54,236.1,2092.94,N/A,N/A,N/A,0.0
2573,B16-X49,3037.77,45.88,236.1,2112.82,N/A,N/A,N/A,0.0
2574,B16-X49,3066.65,45.22,236.9,2133.04,N/A,N/A,N/A,0.0
2575,B16-X49,3095.49,42.35,234.2,2153.86,N/A,N/A,N/A,0.0
2576,B16-X49,3124.16,40.74,234.0,2175.32,N/A,N/A,N/A,0.0
2577,B16-X49,3152.78,40.38,234.0,2197.06,N/A,N/A,N/A,0.0
2578,B16-X49,3181.16,39.99,233.9,2218.74,N/A,N/A,N/A,0.0
2579,B16-X49,3209.97,40.03,233.1,2240.81,N/A,N/A,N/A,0.0
2580,B16-X49,3238.69,40.08,233.1,2262.79,N/A,N/A,N/A,0.0
2581,B16-X49,3267.38,40.43,232.8,2284.69,N/A,N/A,N/A,0.0
2582,B16-X49,3296.09,40.96,232.6,2306.46,N/A,N/A,N/A,0.0
2583,B16-X49,3324.86,40.98,232.1,2328.18,N/A,N/A,N/A,0.0
2584,B16-X49,3353.48,41.0,231.4,2349.78,N/A,N/A,N/A,0.0
2585,B16-X49,3377.5,41.1,230.1,2367.9,N/A,N/A,N/A,0.0
2586,B16-X49,3381.9,41.2,230.2,2371.21,N/A,N/A,N/A,0.0
2587,B16-X49,3410.41,41.4,229.3,2392.63,N/A,N/A,N/A,0.0
2588,B16-X49,3439.08,41.48,229.2,2414.12,N/A,N/A,N/A,0.0
2589,B16-X49,3467.8,41.57,229.0,2435.62,N/A,N/A,N/A,0.0
2590,B16-X49,3496.62,41.73,228.6,2457.16,N/A,N/A,N/A,0.0
2591,B16-X49,3525.59,41.92,228.1,2478.75,N/A,N/A,N/A,0.0
2592,B16-X49,3554.26,42.28,227.8,2500.02,N/A,N/A,N/A,0.0
2593,B16-X49,3583.21,42.45,227.6,2521.41,N/A,N/A,N/A,0.0
2594,B16-X49,3612.0,42.63,227.3,2542.62,N/A,N/A,N/A,0.0
2595,B16-X49,3640.74,42.87,227.2,2563.73,N/A,N/A,N/A,0.0
2596,B16-X49,3644.3,42.89,227.1,2566.33,N/A,N/A,N/A,0.0
2597,B16-X49,3661.0,42.89,227.1,2578.57,N/A,N/A,N/A,0.0
9976,B16-X49,0.0,N/A,N/A,N/A,0.0,220.0,N/A,N/A
9977,B16-X49,50.0,N/A,N/A,N/A,0.0,220.0,50.0,N/A
9978,B16-X49,130.0,N/A,N/A,N/A,8.0,220.0,129.74,N/A
9979,B16-X49,150.0,N/A,N/A,N/A,10.0,220.0,149.49,N/A
9980,B16-X49,230.0,N/A,N/A,N/A,21.73,230.01,226.31,N/A
9981,B16-X49,310.0,N/A,N/A,N/A,33.64,233.14,297.03,N/A
9982,B16-X49,390.0,N/A,N/A,N/A,45.6,234.76,358.54,N/A
9983,B16-X49,408.35,N/A,N/A,N/A,48.34,235.03,371.06,N/A
9984,B16-X49,708.35,N/A,N/A,N/A,48.34,235.03,570.47,N/A
9985,B16-X49,1008.35,N/A,N/A,N/A,48.34,235.03,769.88,N/A
9986,B16-X49,1308.35,N/A,N/A,N/A,48.34,235.03,969.3,N/A
9987,B16-X49,1608.35,N/A,N/A,N/A,48.34,235.03,1168.71,N/A
9988,B16-X49,1908.35,N/A,N/A,N/A,48.34,235.03,1368.12,N/A
9989,B16-X49,2208.35,N/A,N/A,N/A,48.34,235.03,1567.53,N/A
9990,B16-X49,2508.35,N/A,N/A,N/A,48.34,235.03,1766.95,N/A
9991,B16-X49,2808.35,N/A,N/A,N/A,48.34,235.03,1966.36,N/A
9992,B16-X49,2914.0,N/A,N/A,N/A,48.34,235.03,2036.59,N/A
9993,B16-X49,2994.0,N/A,N/A,N/A,46.48,235.18,2090.72,N/A
9994,B16-X49,3074.0,N/A,N/A,N/A,44.62,235.34,2146.74,N/A
9995,B16-X49,3154.0,N/A,N/A,N/A,42.75,235.51,2204.59,N/A
9996,B16-X49,3234.0,N/A,N/A,N/A,40.89,235.69,2264.21,N/A
9997,B16-X49,3314.0,N/A,N/A,N/A,39.03,235.89,2325.53,N/A
9998,B16-X49,3358.21,N/A,N/A,N/A,38.0,236.0,2360.0,N/A
9999,B16-X49,3624.7,N/A,N/A,N/A,38.0,236.0,2570.0,N/A
2598,B16-X5,0.0,0.0,282.62,N/A,N/A,N/A,N/A,0.0
2599,B16-X5,14.37,0.29,282.62,14.37,N/A,N/A,N/A,0.0
2600,B16-X5,42.42,0.35,319.09,42.42,N/A,N/A,N/A,0.0
2601,B16-X5,70.0,0.44,249.24,70.0,N/A,N/A,N/A,0.0
2602,B16-X5,98.21,0.7,241.74,98.21,N/A,N/A,N/A,0.0
2603,B16-X5,126.14,0.83,234.9,126.13,N/A,N/A,N/A,0.0
2604,B16-X5,153.95,1.4,234.04,153.94,N/A,N/A,N/A,0.0
2605,B16-X5,182.71,1.63,239.22,182.69,N/A,N/A,N/A,0.0
2606,B16-X5,211.44,1.78,235.47,211.41,N/A,N/A,N/A,0.0
2607,B16-X5,240.12,1.67,234.31,240.07,N/A,N/A,N/A,0.0
2608,B16-X5,268.98,1.57,240.81,268.92,N/A,N/A,N/A,0.0
2609,B16-X5,297.65,1.64,244.8,297.58,N/A,N/A,N/A,0.0
2610,B16-X5,326.09,1.75,250.49,326.01,N/A,N/A,N/A,0.0
2611,B16-X5,354.93,1.96,253.35,354.83,N/A,N/A,N/A,0.0
2612,B16-X5,383.81,1.83,254.12,383.7,N/A,N/A,N/A,0.0
2613,B16-X5,403.04,1.81,252.94,402.92,N/A,N/A,N/A,0.0
2614,B16-X5,410.56,1.68,255.81,410.43,N/A,N/A,N/A,0.0
2615,B16-X5,439.14,1.75,235.71,439.0,N/A,N/A,N/A,0.0
2616,B16-X5,467.96,1.32,288.81,467.81,N/A,N/A,N/A,0.0
2617,B16-X5,497.53,0.71,243.11,497.38,N/A,N/A,N/A,0.0
2618,B16-X5,526.47,0.66,254.91,526.31,N/A,N/A,N/A,0.0
2619,B16-X5,555.37,0.74,240.41,555.21,N/A,N/A,N/A,0.0
2620,B16-X5,584.28,0.83,225.91,584.12,N/A,N/A,N/A,0.0
2621,B16-X5,613.18,1.1,138.11,613.02,N/A,N/A,N/A,0.0
2622,B16-X5,642.09,0.93,167.61,641.92,N/A,N/A,N/A,0.0
2623,B16-X5,670.99,0.74,172.31,670.82,N/A,N/A,N/A,0.0
2624,B16-X5,699.9,0.65,177.11,699.73,N/A,N/A,N/A,0.0
2625,B16-X5,728.8,0.81,173.82,728.62,N/A,N/A,N/A,0.0
2626,B16-X5,757.71,0.57,170.41,757.53,N/A,N/A,N/A,0.0
2627,B16-X5,786.61,0.56,166.31,786.43,N/A,N/A,N/A,0.0
2628,B16-X5,815.52,0.57,162.31,815.34,N/A,N/A,N/A,0.0
2629,B16-X5,842.45,0.78,182.41,842.27,N/A,N/A,N/A,0.0
2630,B16-X5,871.16,0.61,198.61,870.97,N/A,N/A,N/A,0.0
2631,B16-X5,899.96,0.66,202.53,899.77,N/A,N/A,N/A,0.0
2632,B16-X5,928.64,0.7,206.81,928.45,N/A,N/A,N/A,0.0
2633,B16-X5,957.43,0.9,220.21,957.24,N/A,N/A,N/A,0.0
2634,B16-X5,985.8,1.41,153.91,985.6,N/A,N/A,N/A,0.0
2635,B16-X5,1014.7,1.51,158.81,1014.49,N/A,N/A,N/A,0.0
2636,B16-X5,1043.5,1.67,160.81,1043.28,N/A,N/A,N/A,0.0
2637,B16-X5,1072.2,1.98,165.11,1071.97,N/A,N/A,N/A,0.0
2638,B16-X5,1091.22,2.55,172.11,1090.97,N/A,N/A,N/A,1.0
2639,B16-X5,1100.73,4.0,173.71,1100.47,N/A,N/A,N/A,0.0
2640,B16-X5,1110.23,5.65,177.21,1109.93,N/A,N/A,N/A,0.0
2641,B16-X5,1119.83,7.03,180.41,1119.47,N/A,N/A,N/A,0.0
2642,B16-X5,1129.49,8.89,182.11,1129.04,N/A,N/A,N/A,0.0
2643,B16-X5,1139.13,10.38,184.51,1138.54,N/A,N/A,N/A,0.0
2644,B16-X5,1148.73,11.85,185.51,1147.96,N/A,N/A,N/A,0.0
2645,B16-X5,1158.3,13.01,189.31,1157.31,N/A,N/A,N/A,0.0
2646,B16-X5,1167.95,14.63,192.41,1166.68,N/A,N/A,N/A,0.0
2647,B16-X5,1177.6,16.09,194.01,1175.98,N/A,N/A,N/A,0.0
2648,B16-X5,1186.97,17.64,195.21,1184.95,N/A,N/A,N/A,0.0
2649,B16-X5,1196.63,18.95,194.41,1194.12,N/A,N/A,N/A,0.0
2650,B16-X5,1206.17,20.03,193.81,1203.12,N/A,N/A,N/A,0.0
2651,B16-X5,1215.69,20.74,193.11,1212.04,N/A,N/A,N/A,0.0
2652,B16-X5,1225.34,22.41,193.31,1221.01,N/A,N/A,N/A,0.0
2653,B16-X5,1234.99,23.85,193.61,1229.89,N/A,N/A,N/A,0.0
2654,B16-X5,1244.49,25.55,193.91,1238.52,N/A,N/A,N/A,0.0
2655,B16-X5,1254.14,26.98,195.31,1247.17,N/A,N/A,N/A,0.0
2656,B16-X5,1263.66,28.58,196.91,1255.59,N/A,N/A,N/A,0.0
2657,B16-X5,1273.1,30.06,197.41,1263.82,N/A,N/A,N/A,0.0
2658,B16-X5,1301.66,33.71,197.31,1288.07,N/A,N/A,N/A,0.0
2659,B16-X5,1330.23,33.62,196.82,1311.85,N/A,N/A,N/A,2.0
2660,B16-X5,1359.12,33.31,195.81,1335.95,N/A,N/A,N/A,0.0
2661,B16-X5,1388.13,33.53,195.71,1360.16,N/A,N/A,N/A,0.0
2662,B16-X5,1417.13,33.31,194.61,1384.37,N/A,N/A,N/A,0.0
2663,B16-X5,1445.79,33.49,198.01,1408.29,N/A,N/A,N/A,0.0
2664,B16-X5,1474.42,33.1,197.31,1432.23,N/A,N/A,N/A,0.0
2665,B16-X5,1502.75,32.43,196.71,1456.05,N/A,N/A,N/A,0.0
2666,B16-X5,1531.38,33.31,196.01,1480.09,N/A,N/A,N/A,0.0
2667,B16-X5,1559.79,33.05,198.81,1503.87,N/A,N/A,N/A,0.0
2668,B16-X5,1588.6,32.96,198.11,1528.03,N/A,N/A,N/A,0.0
2669,B16-X5,1617.26,32.87,197.51,1552.09,N/A,N/A,N/A,0.0
2670,B16-X5,1646.01,32.87,197.51,1576.24,N/A,N/A,N/A,0.0
2671,B16-X5,1674.62,32.83,196.81,1600.27,N/A,N/A,N/A,0.0
2672,B16-X5,1703.18,32.56,196.71,1624.31,N/A,N/A,N/A,0.0
2673,B16-X5,1731.84,33.05,197.11,1648.4,N/A,N/A,N/A,0.0
2674,B16-X5,1760.33,33.49,197.71,1672.22,N/A,N/A,N/A,0.0
2675,B16-X5,1788.91,33.51,196.51,1696.05,N/A,N/A,N/A,0.0
2676,B16-X5,1817.55,33.53,195.71,1719.93,N/A,N/A,N/A,0.0
2677,B16-X5,1846.15,33.5,195.11,1743.77,N/A,N/A,N/A,0.0
2678,B16-X5,1874.84,33.49,194.61,1767.7,N/A,N/A,N/A,0.0
2679,B16-X5,1903.82,33.57,196.01,1791.86,N/A,N/A,N/A,0.0
2680,B16-X5,1932.45,33.62,198.61,1815.7,N/A,N/A,N/A,0.0
2681,B16-X5,1960.88,33.04,197.81,1839.46,N/A,N/A,N/A,0.0
2682,B16-X5,1989.6,32.48,197.51,1863.61,N/A,N/A,N/A,0.0
2683,B16-X5,2018.35,32.3,197.11,1887.89,N/A,N/A,N/A,0.0
2684,B16-X5,2047.05,31.9,197.51,1912.2,N/A,N/A,N/A,0.0
2685,B16-X5,2075.84,33.89,199.31,1936.37,N/A,N/A,N/A,0.0
2686,B16-X5,2104.59,34.5,200.51,1960.15,N/A,N/A,N/A,0.0
2687,B16-X5,2133.17,33.32,200.41,1983.87,N/A,N/A,N/A,0.0
2688,B16-X5,2162.01,32.17,200.31,2008.13,N/A,N/A,N/A,0.0
2689,B16-X5,2190.47,34.38,199.31,2031.92,N/A,N/A,N/A,0.0
2690,B16-X5,2219.15,34.98,198.31,2055.5,N/A,N/A,N/A,0.0
2691,B16-X5,2247.78,34.56,198.41,2079.02,N/A,N/A,N/A,0.0
2692,B16-X5,2276.29,34.15,198.51,2102.56,N/A,N/A,N/A,0.0
2693,B16-X5,2305.1,34.36,198.71,2126.37,N/A,N/A,N/A,0.0
2694,B16-X5,2333.94,34.58,198.91,2150.15,N/A,N/A,N/A,0.0
2695,B16-X5,2362.74,34.79,198.41,2173.83,N/A,N/A,N/A,0.0
2696,B16-X5,2391.64,35.01,197.91,2197.53,N/A,N/A,N/A,0.0
2697,B16-X5,2420.37,35.51,197.41,2220.99,N/A,N/A,N/A,0.0
2698,B16-X5,2448.87,35.6,195.71,2244.18,N/A,N/A,N/A,0.0
2699,B16-X5,2477.62,35.38,194.91,2267.59,N/A,N/A,N/A,0.0
2700,B16-X5,2506.26,35.01,198.11,2290.99,N/A,N/A,N/A,0.0
2701,B16-X5,2534.74,34.63,199.31,2314.37,N/A,N/A,N/A,0.0
2702,B16-X5,2563.44,33.62,199.11,2338.13,N/A,N/A,N/A,0.0
2703,B16-X5,2592.28,32.56,198.41,2362.29,N/A,N/A,N/A,0.0
2704,B16-X5,2621.05,31.51,196.91,2386.68,N/A,N/A,N/A,0.0
2705,B16-X5,2649.51,32.39,198.11,2410.83,N/A,N/A,N/A,0.0
2706,B16-X5,2678.13,33.19,199.21,2434.89,N/A,N/A,N/A,0.0
2707,B16-X5,2706.79,32.52,197.51,2458.96,N/A,N/A,N/A,0.0
2708,B16-X5,2735.21,31.68,197.31,2483.04,N/A,N/A,N/A,0.0
2709,B16-X5,2764.01,33.93,197.21,2507.24,N/A,N/A,N/A,0.0
2710,B16-X5,2792.64,32.34,196.71,2531.22,N/A,N/A,N/A,0.0
2711,B16-X5,2821.41,33.13,196.71,2555.42,N/A,N/A,N/A,0.0
2712,B16-X5,2850.34,33.18,196.61,2579.64,N/A,N/A,N/A,0.0
2713,B16-X5,2880.01,31.15,194.91,2604.75,N/A,N/A,N/A,0.0
2714,B16-X5,2908.83,33.38,195.81,2629.12,N/A,N/A,N/A,0.0
2715,B16-X5,2937.63,34.93,196.51,2652.95,N/A,N/A,N/A,0.0
2716,B16-X5,2966.26,34.32,195.71,2676.51,N/A,N/A,N/A,0.0
2717,B16-X5,2995.03,34.5,193.51,2700.25,N/A,N/A,N/A,0.0
2718,B16-X5,3023.96,34.5,195.31,2724.09,N/A,N/A,N/A,0.0
2719,B16-X5,3052.76,34.98,193.81,2747.76,N/A,N/A,N/A,0.0
2720,B16-X5,3081.76,35.42,193.91,2771.45,N/A,N/A,N/A,0.0
2721,B16-X5,3110.66,35.77,194.31,2794.95,N/A,N/A,N/A,0.0
2722,B16-X5,3139.29,35.16,193.71,2818.27,N/A,N/A,N/A,0.0
2723,B16-X5,3168.14,35.38,193.11,2841.83,N/A,N/A,N/A,0.0
2724,B16-X5,3196.9,36.15,193.51,2865.16,N/A,N/A,N/A,0.0
2725,B16-X5,3200.42,36.21,193.55,2868.0,N/A,N/A,N/A,0.0
2726,B16-X5,3225.5,36.63,193.81,2888.18,N/A,N/A,N/A,0.0
2727,B16-X5,3254.13,37.25,192.31,2911.07,N/A,N/A,N/A,0.0
2728,B16-X5,3283.06,37.96,192.51,2933.99,N/A,N/A,N/A,0.0
2729,B16-X5,3311.72,38.38,193.11,2956.52,N/A,N/A,N/A,0.0
2730,B16-X5,3340.62,38.85,192.61,2979.1,N/A,N/A,N/A,0.0
2731,B16-X5,3359.81,39.08,192.41,2994.02,N/A,N/A,N/A,0.0
2732,B16-X5,3378.0,39.08,192.41,3008.14,N/A,N/A,N/A,0.0
10000,B16-X5,0.0,N/A,N/A,N/A,0.0,197.71,N/A,N/A
10001,B16-X5,1100.0,N/A,N/A,N/A,0.0,197.71,1100.0,N/A
10002,B16-X5,1160.0,N/A,N/A,N/A,9.0,197.71,1159.75,N/A
10003,B16-X5,1220.0,N/A,N/A,N/A,18.0,197.71,1218.04,N/A
10004,B16-X5,1280.0,N/A,N/A,N/A,27.0,197.71,1273.41,N/A
10005,B16-X5,1330.13,N/A,N/A,N/A,34.52,197.71,1316.46,N/A
10006,B16-X5,1630.13,N/A,N/A,N/A,34.52,197.71,1563.64,N/A
10007,B16-X5,1930.13,N/A,N/A,N/A,34.52,197.71,1810.82,N/A
10008,B16-X5,2230.13,N/A,N/A,N/A,34.52,197.71,2057.99,N/A
10009,B16-X5,2530.13,N/A,N/A,N/A,34.52,197.71,2305.17,N/A
10010,B16-X5,2830.13,N/A,N/A,N/A,34.52,197.71,2552.35,N/A
10011,B16-X5,3130.13,N/A,N/A,N/A,34.52,197.71,2799.53,N/A
10012,B16-X5,3203.51,N/A,N/A,N/A,34.52,197.71,2859.99,N/A
10013,B16-X5,3373.43,N/A,N/A,N/A,34.52,197.71,2999.99,N/A
2951,B16-X7,0.0,0.0,241.81,N/A,N/A,N/A,N/A,0.0
2952,B16-X7,11.52,0.44,241.81,11.52,N/A,N/A,N/A,0.0
2953,B16-X7,39.57,0.4,247.11,39.57,N/A,N/A,N/A,0.0
2954,B16-X7,67.15,0.35,251.41,67.15,N/A,N/A,N/A,0.0
2955,B16-X7,95.36,0.35,253.31,95.36,N/A,N/A,N/A,0.0
2956,B16-X7,123.29,0.4,255.21,123.29,N/A,N/A,N/A,0.0
2957,B16-X7,132.45,0.55,253.81,132.45,N/A,N/A,N/A,0.0
2958,B16-X7,141.91,1.08,237.31,141.91,N/A,N/A,N/A,1.0
2959,B16-X7,151.1,1.98,231.61,151.09,N/A,N/A,N/A,0.0
2960,B16-X7,160.71,2.55,230.51,160.7,N/A,N/A,N/A,0.0
2961,B16-X7,170.3,3.51,229.01,170.27,N/A,N/A,N/A,0.0
2962,B16-X7,179.86,4.48,227.91,179.81,N/A,N/A,N/A,0.0
2963,B16-X7,189.35,5.5,233.11,189.26,N/A,N/A,N/A,0.0
2964,B16-X7,198.94,6.3,238.31,198.8,N/A,N/A,N/A,0.0
2965,B16-X7,208.59,7.21,243.81,208.38,N/A,N/A,N/A,0.0
2966,B16-X7,218.0,8.17,243.11,217.71,N/A,N/A,N/A,0.0
2967,B16-X7,227.66,9.15,241.91,227.26,N/A,N/A,N/A,0.0
2968,B16-X7,237.27,10.21,241.21,236.73,N/A,N/A,N/A,0.0
2969,B16-X7,246.87,11.23,241.51,246.16,N/A,N/A,N/A,0.0
2970,B16-X7,256.51,12.22,242.01,255.6,N/A,N/A,N/A,0.0
2971,B16-X7,266.13,13.36,242.41,264.98,N/A,N/A,N/A,0.0
2972,B16-X7,275.74,14.31,241.11,274.32,N/A,N/A,N/A,0.0
2973,B16-X7,285.34,15.45,240.41,283.59,N/A,N/A,N/A,0.0
2974,B16-X7,294.8,16.41,239.21,292.69,N/A,N/A,N/A,0.0
2975,B16-X7,304.29,17.37,238.51,301.77,N/A,N/A,N/A,0.0
2976,B16-X7,313.79,18.29,237.81,310.81,N/A,N/A,N/A,0.0
2977,B16-X7,323.24,19.38,237.21,319.76,N/A,N/A,N/A,0.0
2978,B16-X7,332.85,20.35,236.81,328.8,N/A,N/A,N/A,0.0
2979,B16-X7,342.49,21.47,236.41,337.8,N/A,N/A,N/A,0.0
2980,B16-X7,352.08,22.54,236.01,346.69,N/A,N/A,N/A,0.0
2981,B16-X7,361.7,23.53,236.21,355.55,N/A,N/A,N/A,0.0
2982,B16-X7,371.34,24.68,236.51,364.34,N/A,N/A,N/A,0.0
2983,B16-X7,380.96,25.69,236.71,373.05,N/A,N/A,N/A,0.0
2984,B16-X7,390.58,26.54,236.51,381.69,N/A,N/A,N/A,0.0
2985,B16-X7,400.19,27.21,236.31,390.26,N/A,N/A,N/A,0.0
2986,B16-X7,409.83,27.42,236.01,398.82,N/A,N/A,N/A,0.0
2987,B16-X7,438.41,28.6,236.41,424.06,N/A,N/A,N/A,0.0
2988,B16-X7,467.23,29.05,236.81,449.31,N/A,N/A,N/A,0.0
2989,B16-X7,490.09,29.4,237.01,469.26,N/A,N/A,N/A,2.0
2990,B16-X7,507.08,30.01,236.61,484.01,N/A,N/A,N/A,0.0
2991,B16-X7,526.33,30.41,236.61,500.65,N/A,N/A,N/A,0.0
2992,B16-X7,555.05,30.23,237.01,525.44,N/A,N/A,N/A,0.0
2993,B16-X7,583.84,30.06,236.51,550.34,N/A,N/A,N/A,0.0
2994,B16-X7,612.44,32.05,236.81,574.84,N/A,N/A,N/A,0.0
2995,B16-X7,641.33,33.13,237.51,599.18,N/A,N/A,N/A,0.0
2996,B16-X7,670.05,32.78,237.21,623.28,N/A,N/A,N/A,0.0
2997,B16-X7,698.91,32.52,236.81,647.58,N/A,N/A,N/A,0.0
2998,B16-X7,727.76,32.21,237.11,671.94,N/A,N/A,N/A,0.0
2999,B16-X7,756.45,31.9,237.31,696.26,N/A,N/A,N/A,0.0
3000,B16-X7,784.99,31.63,237.81,720.52,N/A,N/A,N/A,0.0
3001,B16-X7,813.81,31.25,238.21,745.11,N/A,N/A,N/A,0.0
3002,B16-X7,842.45,32.1,238.01,769.49,N/A,N/A,N/A,0.0
3003,B16-X7,871.16,32.83,237.81,793.71,N/A,N/A,N/A,0.0
3004,B16-X7,899.96,32.7,238.11,817.93,N/A,N/A,N/A,0.0
3005,B16-X7,928.64,32.48,236.81,842.09,N/A,N/A,N/A,0.0
3006,B16-X7,957.43,32.39,237.01,866.39,N/A,N/A,N/A,0.0
3007,B16-X7,985.8,32.0,237.31,890.4,N/A,N/A,N/A,0.0
3008,B16-X7,1014.7,31.64,237.51,914.96,N/A,N/A,N/A,0.0
3009,B16-X7,1043.5,31.31,236.91,939.52,N/A,N/A,N/A,0.0
